fecha,t_promedio_c,t_minima_c,t_maxima_c,precipitacion_mm,hdd,cdd,evento_helada,enso_index,tendencia_c,estacionalidad_c,anio,mes,dia_semana,trimestre,hdd_acum_mes,cdd_acum_mes,dias_helada_mes
2015-01-23,12.43,8.28,16.77,2.43,0.0,2.4312,0,0.22,0.0012,-0.7984,2015,1,Friday,1,2.99,82.94,0
2015-01-24,8.91,4.97,12.81,19.13,1.0919,0.0,0,0.222,0.0013,-0.797,2015,1,Saturday,1,4.08,82.94,0
2015-01-25,10.82,6.04,16.59,13.17,0.0,0.8187,0,0.24,0.0013,-0.796,2015,1,Sunday,1,4.08,83.76,0
2015-01-26,10.15,5.9,15.59,16.91,0.0,0.153,0,0.254,0.0014,-0.7953,2015,1,Monday,1,4.08,83.91,0
2015-01-27,9.59,5.63,15.51,1.14,0.4077,0.0,0,0.253,0.0014,-0.7948,2015,1,Tuesday,1,4.49,83.91,0
2015-01-28,7.36,2.82,12.48,0.59,2.6357,0.0,0,0.26,0.0015,-0.7947,2015,1,Wednesday,1,7.12,83.91,0
2015-01-29,7.26,1.88,12.48,0.36,2.7415,0.0,1,0.296,0.0015,-0.7948,2015,1,Thursday,1,9.87,83.91,1
2015-01-30,9.61,4.59,15.03,6.72,0.3944,0.0,0,0.294,0.0016,-0.7953,2015,1,Friday,1,10.26,83.91,1
2015-01-31,11.92,7.56,16.96,1.99,0.0,1.9193,0,0.31,0.0016,-0.796,2015,1,Saturday,1,10.26,85.83,1
2015-02-01,13.73,9.38,18.69,3.53,0.0,3.7338,0,0.309,0.0017,-0.797,2015,2,Sunday,1,0.0,3.73,0
2015-02-02,11.14,6.51,17.06,9.18,0.0,1.1384,0,0.31,0.0018,-0.7983,2015,2,Monday,1,0.0,4.87,0
2015-02-03,9.89,5.42,14.93,0.62,0.1094,0.0,0,0.311,0.0018,-0.7998,2015,2,Tuesday,1,0.11,4.87,0
2015-02-04,9.07,4.75,13.35,7.91,0.9286,0.0,0,0.312,0.0019,-0.8016,2015,2,Wednesday,1,1.04,4.87,0
2015-02-05,9.35,4.52,14.85,0.51,0.6505,0.0,0,0.313,0.0019,-0.8037,2015,2,Thursday,1,1.69,4.87,0
2015-02-06,12.14,7.49,17.51,1.33,0.0,2.1373,0,0.314,0.002,-0.806,2015,2,Friday,1,1.69,7.01,0
2015-02-07,13.36,8.02,19.22,0.08,0.0,3.3583,0,0.311,0.002,-0.8085,2015,2,Saturday,1,1.69,10.37,0
2015-02-08,12.96,8.63,18.36,1.61,0.0,2.96,0,0.304,0.0021,-0.8113,2015,2,Sunday,1,1.69,13.33,0
2015-02-09,12.99,9.2,18.07,6.97,0.0,2.9904,0,0.306,0.0021,-0.8142,2015,2,Monday,1,1.69,16.32,0
2015-02-10,14.6,10.35,21.11,8.94,0.0,4.6035,0,0.305,0.0022,-0.8174,2015,2,Tuesday,1,1.69,20.92,0
2015-02-11,14.46,9.87,19.05,4.12,0.0,4.4567,0,0.317,0.0022,-0.8208,2015,2,Wednesday,1,1.69,25.38,0
2015-02-12,14.88,9.86,21.0,4.0,0.0,4.8822,0,0.313,0.0023,-0.8244,2015,2,Thursday,1,1.69,30.26,0
2015-02-13,13.73,8.78,20.15,1.14,0.0,3.7337,0,0.318,0.0024,-0.8281,2015,2,Friday,1,1.69,33.99,0
2015-02-14,13.15,8.16,18.76,2.2,0.0,3.1459,0,0.319,0.0024,-0.832,2015,2,Saturday,1,1.69,37.14,0
2015-02-15,12.29,7.74,16.47,4.96,0.0,2.2928,0,0.33,0.0025,-0.8361,2015,2,Sunday,1,1.69,39.43,0
2015-02-16,13.53,8.36,19.44,12.25,0.0,3.5305,0,0.331,0.0025,-0.8403,2015,2,Monday,1,1.69,42.96,0
2015-02-17,13.68,9.83,18.58,5.06,0.0,3.6758,0,0.344,0.0026,-0.8446,2015,2,Tuesday,1,1.69,46.64,0
2015-02-18,10.9,7.29,16.72,0.0,0.0,0.9013,0,0.344,0.0026,-0.849,2015,2,Wednesday,1,1.69,47.54,0
2015-02-19,8.59,4.7,13.59,1.51,1.4083,0.0,0,0.331,0.0027,-0.8534,2015,2,Thursday,1,3.1,47.54,0
2015-02-20,8.32,2.98,13.22,8.76,1.6765,0.0,0,0.326,0.0027,-0.858,2015,2,Friday,1,4.77,47.54,0
2015-02-21,9.45,4.95,14.58,1.2,0.5464,0.0,0,0.328,0.0028,-0.8626,2015,2,Saturday,1,5.32,47.54,0
2015-02-22,13.55,9.87,18.23,1.73,0.0,3.5484,0,0.333,0.0028,-0.8673,2015,2,Sunday,1,5.32,51.09,0
2015-02-23,15.12,10.5,20.91,0.72,0.0,5.1227,0,0.334,0.0029,-0.872,2015,2,Monday,1,5.32,56.21,0
2015-02-24,13.61,9.12,18.65,10.7,0.0,3.6081,0,0.324,0.003,-0.8766,2015,2,Tuesday,1,5.32,59.82,0
2015-02-25,14.57,10.02,19.73,3.63,0.0,4.5661,0,0.33,0.003,-0.8813,2015,2,Wednesday,1,5.32,64.39,0
2015-02-26,16.54,12.97,20.8,0.57,0.0,6.5357,0,0.329,0.0031,-0.886,2015,2,Thursday,1,5.32,70.92,0
2015-02-27,15.97,11.79,21.79,1.64,0.0,5.9737,0,0.336,0.0031,-0.8905,2015,2,Friday,1,5.32,76.9,0
2015-02-28,16.73,11.95,22.09,1.28,0.0,6.7264,0,0.337,0.0032,-0.8951,2015,2,Saturday,1,5.32,83.62,0
2015-03-01,13.85,9.42,19.07,0.74,0.0,3.8457,0,0.348,0.0032,-0.8995,2015,3,Sunday,1,0.0,3.85,0
2015-03-02,15.89,11.17,21.25,0.92,0.0,5.8896,0,0.355,0.0033,-0.9039,2015,3,Monday,1,0.0,9.74,0
2015-03-03,14.39,11.22,19.2,0.53,0.0,4.3946,0,0.359,0.0033,-0.9081,2015,3,Tuesday,1,0.0,14.13,0
2015-03-04,13.8,9.7,18.69,9.18,0.0,3.8022,0,0.351,0.0034,-0.9122,2015,3,Wednesday,1,0.0,17.93,0
2015-03-05,10.79,6.22,16.44,1.15,0.0,0.7857,0,0.366,0.0034,-0.9161,2015,3,Thursday,1,0.0,18.72,0
2015-03-06,11.18,7.41,16.35,5.65,0.0,1.1792,0,0.369,0.0035,-0.9198,2015,3,Friday,1,0.0,19.9,0
2015-03-07,12.91,8.03,18.37,3.95,0.0,2.9108,0,0.372,0.0036,-0.9234,2015,3,Saturday,1,0.0,22.81,0
2015-03-08,8.75,4.92,13.94,2.84,1.252,0.0,0,0.38,0.0036,-0.9267,2015,3,Sunday,1,1.25,22.81,0
2015-03-09,8.37,4.18,13.33,0.21,1.6253,0.0,0,0.381,0.0037,-0.9298,2015,3,Monday,1,2.88,22.81,0
2015-03-10,8.42,4.15,14.37,0.61,1.5808,0.0,0,0.385,0.0037,-0.9326,2015,3,Tuesday,1,4.46,22.81,0
2015-03-11,10.0,4.83,15.81,0.16,0.0013,0.0,0,0.381,0.0038,-0.9352,2015,3,Wednesday,1,4.46,22.81,0
2015-03-12,8.08,3.21,14.19,2.99,1.9241,0.0,0,0.393,0.0038,-0.9375,2015,3,Thursday,1,6.38,22.81,0
2015-03-13,11.82,7.23,16.34,0.05,0.0,1.825,0,0.401,0.0039,-0.9394,2015,3,Friday,1,6.38,24.63,0
2015-03-14,12.67,7.89,17.98,0.32,0.0,2.6664,0,0.399,0.0039,-0.941,2015,3,Saturday,1,6.38,27.3,0
2015-03-15,11.87,7.02,17.25,0.04,0.0,1.8719,0,0.403,0.004,-0.9423,2015,3,Sunday,1,6.38,29.17,0
2015-03-16,10.12,6.07,15.8,1.08,0.0,0.1233,0,0.402,0.0041,-0.9432,2015,3,Monday,1,6.38,29.29,0
2015-03-17,11.99,7.89,17.17,0.23,0.0,1.988,0,0.408,0.0041,-0.9437,2015,3,Tuesday,1,6.38,31.28,0
2015-03-18,15.43,10.07,21.17,3.63,0.0,5.4262,0,0.411,0.0042,-0.9438,2015,3,Wednesday,1,6.38,36.71,0
2015-03-19,13.02,8.07,18.73,1.28,0.0,3.0237,0,0.416,0.0042,-0.9435,2015,3,Thursday,1,6.38,39.73,0
2015-03-20,11.14,7.58,15.62,1.3,0.0,1.1431,0,0.418,0.0043,-0.9428,2015,3,Friday,1,6.38,40.88,0
2015-03-21,12.81,7.65,18.67,2.15,0.0,2.805,0,0.428,0.0043,-0.9415,2015,3,Saturday,1,6.38,43.68,0
2015-03-22,13.99,9.52,19.35,0.0,0.0,3.9938,0,0.434,0.0044,-0.9399,2015,3,Sunday,1,6.38,47.67,0
2015-03-23,12.29,8.21,17.81,1.69,0.0,2.2881,0,0.439,0.0044,-0.9377,2015,3,Monday,1,6.38,49.96,0
2015-03-24,12.25,7.66,17.44,3.44,0.0,2.2464,0,0.437,0.0045,-0.935,2015,3,Tuesday,1,6.38,52.21,0
2015-03-25,14.13,9.95,19.17,1.0,0.0,4.1274,0,0.433,0.0045,-0.9318,2015,3,Wednesday,1,6.38,56.34,0
2015-03-26,12.48,9.23,17.02,6.12,0.0,2.4766,0,0.435,0.0046,-0.928,2015,3,Thursday,1,6.38,58.81,0
2015-03-27,12.85,8.15,18.16,0.9,0.0,2.8474,0,0.44,0.0047,-0.9237,2015,3,Friday,1,6.38,61.66,0
2015-03-28,14.87,10.0,20.29,0.73,0.0,4.8746,0,0.444,0.0047,-0.9189,2015,3,Saturday,1,6.38,66.53,0
2015-03-29,14.85,10.45,20.51,1.03,0.0,4.8502,0,0.44,0.0048,-0.9134,2015,3,Sunday,1,6.38,71.38,0
2015-03-30,12.99,8.74,18.34,5.65,0.0,2.99,0,0.441,0.0048,-0.9074,2015,3,Monday,1,6.38,74.37,0
2015-03-31,13.47,8.25,19.11,1.53,0.0,3.4692,0,0.446,0.0049,-0.9008,2015,3,Tuesday,1,6.38,77.84,0
2015-04-01,12.59,8.35,17.9,0.34,0.0,2.5888,0,0.449,0.0049,-0.8935,2015,4,Wednesday,2,0.0,2.59,0
2015-04-02,16.53,11.71,22.69,1.15,0.0,6.5325,0,0.451,0.005,-0.8856,2015,4,Thursday,2,0.0,9.12,0
2015-04-03,14.79,10.42,19.49,1.17,0.0,4.7934,0,0.462,0.005,-0.8771,2015,4,Friday,2,0.0,13.91,0
2015-04-04,14.1,8.57,19.68,11.87,0.0,4.0996,0,0.466,0.0051,-0.8679,2015,4,Saturday,2,0.0,18.01,0
2015-04-05,16.25,11.05,21.72,3.5,0.0,6.2546,0,0.472,0.0051,-0.8581,2015,4,Sunday,2,0.0,24.27,0
2015-04-06,15.07,10.73,20.9,0.98,0.0,5.0654,0,0.473,0.0052,-0.8476,2015,4,Monday,2,0.0,29.33,0
2015-04-07,11.81,7.35,17.18,0.13,0.0,1.8117,0,0.483,0.0053,-0.8364,2015,4,Tuesday,2,0.0,31.15,0
2015-04-08,9.27,4.33,14.09,0.83,0.725,0.0,0,0.49,0.0053,-0.8245,2015,4,Wednesday,2,0.72,31.15,0
2015-04-09,7.98,3.86,14.15,1.15,2.0207,0.0,0,0.493,0.0054,-0.8119,2015,4,Thursday,2,2.75,31.15,0
2015-04-10,7.73,3.8,12.4,4.74,2.2674,0.0,0,0.489,0.0054,-0.7987,2015,4,Friday,2,5.01,31.15,0
2015-04-11,8.86,4.7,14.77,1.01,1.1382,0.0,0,0.492,0.0055,-0.7847,2015,4,Saturday,2,6.15,31.15,0
2015-04-12,10.05,5.71,14.96,2.35,0.0,0.0511,0,0.495,0.0055,-0.7701,2015,4,Sunday,2,6.15,31.2,0
2015-04-13,11.98,7.69,16.99,5.57,0.0,1.9761,0,0.496,0.0056,-0.7547,2015,4,Monday,2,6.15,33.17,0
2015-04-14,13.29,9.61,18.17,19.9,0.0,3.2888,0,0.496,0.0056,-0.7386,2015,4,Tuesday,2,6.15,36.46,0
2015-04-15,10.37,4.44,16.18,13.38,0.0,0.3748,0,0.504,0.0057,-0.7218,2015,4,Wednesday,2,6.15,36.84,0
2015-04-16,12.09,8.4,16.76,0.23,0.0,2.088,0,0.503,0.0057,-0.7043,2015,4,Thursday,2,6.15,38.92,0
2015-04-17,11.51,7.52,16.29,6.48,0.0,1.5063,0,0.496,0.0058,-0.686,2015,4,Friday,2,6.15,40.43,0
2015-04-18,8.43,3.74,13.69,1.81,1.5655,0.0,0,0.503,0.0059,-0.6671,2015,4,Saturday,2,7.72,40.43,0
2015-04-19,9.39,5.21,13.85,1.66,0.6116,0.0,0,0.503,0.0059,-0.6474,2015,4,Sunday,2,8.33,40.43,0
2015-04-20,10.2,5.47,16.29,0.0,0.0,0.1962,0,0.505,0.006,-0.627,2015,4,Monday,2,8.33,40.63,0
2015-04-21,9.63,5.47,15.19,3.4,0.3655,0.0,0,0.504,0.006,-0.6059,2015,4,Tuesday,2,8.69,40.63,0
2015-04-22,9.19,4.88,14.34,0.22,0.8122,0.0,0,0.503,0.0061,-0.5841,2015,4,Wednesday,2,9.51,40.63,0
2015-04-23,11.5,7.44,17.68,7.43,0.0,1.497,0,0.512,0.0061,-0.5616,2015,4,Thursday,2,9.51,42.12,0
2015-04-24,12.24,7.86,16.76,0.14,0.0,2.2444,0,0.529,0.0062,-0.5384,2015,4,Friday,2,9.51,44.37,0
2015-04-25,12.01,7.44,16.42,1.69,0.0,2.0087,0,0.532,0.0062,-0.5145,2015,4,Saturday,2,9.51,46.38,0
2015-04-26,12.47,7.92,17.1,1.35,0.0,2.4668,0,0.54,0.0063,-0.4899,2015,4,Sunday,2,9.51,48.84,0
2015-04-27,10.27,6.47,15.31,0.31,0.0,0.2713,0,0.537,0.0064,-0.4647,2015,4,Monday,2,9.51,49.12,0
2015-04-28,10.37,5.72,16.89,0.94,0.0,0.3736,0,0.542,0.0064,-0.4388,2015,4,Tuesday,2,9.51,49.49,0
2015-04-29,10.61,6.45,15.24,6.06,0.0,0.6133,0,0.545,0.0065,-0.4122,2015,4,Wednesday,2,9.51,50.1,0
2015-04-30,12.52,7.61,18.28,1.68,0.0,2.5221,0,0.536,0.0065,-0.3849,2015,4,Thursday,2,9.51,52.62,0
2015-05-01,13.21,9.8,18.04,2.56,0.0,3.2134,0,0.544,0.0066,-0.3571,2015,5,Friday,2,0.0,3.21,0
2015-05-02,16.55,11.91,21.75,2.53,0.0,6.5534,0,0.55,0.0066,-0.3286,2015,5,Saturday,2,0.0,9.77,0
2015-05-03,17.58,13.81,22.59,0.4,0.0,7.5829,0,0.551,0.0067,-0.2994,2015,5,Sunday,2,0.0,17.35,0
2015-05-04,16.9,11.26,23.34,0.53,0.0,6.8963,0,0.556,0.0067,-0.2697,2015,5,Monday,2,0.0,24.25,0
2015-05-05,14.73,10.77,19.86,9.22,0.0,4.7293,0,0.549,0.0068,-0.2394,2015,5,Tuesday,2,0.0,28.98,0
2015-05-06,11.87,7.25,18.35,1.1,0.0,1.8711,0,0.55,0.0068,-0.2086,2015,5,Wednesday,2,0.0,30.85,0
2015-05-07,9.85,5.31,14.56,5.55,0.1516,0.0,0,0.552,0.0069,-0.1772,2015,5,Thursday,2,0.15,30.85,0
2015-05-08,13.4,8.76,19.41,0.27,0.0,3.4011,0,0.546,0.007,-0.1452,2015,5,Friday,2,0.15,34.25,0
2015-05-09,15.24,11.08,19.23,2.51,0.0,5.2394,0,0.545,0.007,-0.1127,2015,5,Saturday,2,0.15,39.49,0
2015-05-10,14.27,8.94,19.69,5.37,0.0,4.2655,0,0.551,0.0071,-0.0797,2015,5,Sunday,2,0.15,43.75,0
2015-05-11,16.04,10.96,21.58,0.1,0.0,6.0368,0,0.557,0.0071,-0.0463,2015,5,Monday,2,0.15,49.79,0
2015-05-12,12.21,8.21,16.06,15.65,0.0,2.2093,0,0.557,0.0072,-0.0123,2015,5,Tuesday,2,0.15,52.0,0
2015-05-13,9.76,5.98,15.4,7.3,0.2366,0.0,0,0.555,0.0072,0.022,2015,5,Wednesday,2,0.39,52.0,0
2015-05-14,9.87,5.7,13.55,0.57,0.1315,0.0,0,0.549,0.0073,0.0569,2015,5,Thursday,2,0.52,52.0,0
2015-05-15,6.0,2.01,11.19,3.98,4.0011,0.0,0,0.555,0.0073,0.0921,2015,5,Friday,2,4.52,52.0,0
2015-05-16,9.54,4.46,15.58,3.72,0.4578,0.0,0,0.552,0.0074,0.1276,2015,5,Saturday,2,4.98,52.0,0
2015-05-17,14.11,10.23,18.61,28.63,0.0,4.1133,0,0.558,0.0074,0.1636,2015,5,Sunday,2,4.98,56.11,0
2015-05-18,13.77,9.82,18.42,1.47,0.0,3.7719,0,0.559,0.0075,0.1999,2015,5,Monday,2,4.98,59.88,0
2015-05-19,13.46,8.95,18.37,6.27,0.0,3.4579,0,0.554,0.0076,0.2365,2015,5,Tuesday,2,4.98,63.34,0
2015-05-20,13.12,8.96,17.63,1.18,0.0,3.1165,0,0.553,0.0076,0.2733,2015,5,Wednesday,2,4.98,66.46,0
2015-05-21,15.44,11.66,19.37,14.24,0.0,5.4428,0,0.556,0.0077,0.3105,2015,5,Thursday,2,4.98,71.9,0
2015-05-22,17.19,12.91,22.42,1.08,0.0,7.1857,0,0.554,0.0077,0.3478,2015,5,Friday,2,4.98,79.09,0
2015-05-23,16.72,11.82,21.37,2.87,0.0,6.7249,0,0.556,0.0078,0.3854,2015,5,Saturday,2,4.98,85.81,0
2015-05-24,20.29,16.39,25.07,2.55,0.0,10.2861,0,0.563,0.0078,0.4232,2015,5,Sunday,2,4.98,96.1,0
2015-05-25,18.03,13.33,23.15,2.37,0.0,8.0335,0,0.562,0.0079,0.4611,2015,5,Monday,2,4.98,104.13,0
2015-05-26,15.59,11.6,20.63,9.18,0.0,5.5871,0,0.551,0.0079,0.4992,2015,5,Tuesday,2,4.98,109.72,0
2015-05-27,15.77,11.25,21.45,0.54,0.0,5.7691,0,0.557,0.008,0.5374,2015,5,Wednesday,2,4.98,115.49,0
2015-05-28,16.14,12.52,20.25,0.05,0.0,6.1372,0,0.567,0.008,0.5756,2015,5,Thursday,2,4.98,121.62,0
2015-05-29,16.91,12.47,22.37,0.03,0.0,6.9072,0,0.57,0.0081,0.6139,2015,5,Friday,2,4.98,128.53,0
2015-05-30,16.31,12.43,19.91,1.45,0.0,6.3058,0,0.572,0.0082,0.6523,2015,5,Saturday,2,4.98,134.84,0
2015-05-31,17.54,13.35,22.79,0.67,0.0,7.5446,0,0.576,0.0082,0.6906,2015,5,Sunday,2,4.98,142.38,0
2015-06-01,18.83,15.3,24.47,2.11,0.0,8.8259,0,0.581,0.0083,0.7288,2015,6,Monday,2,0.0,8.83,0
2015-06-02,19.69,15.68,24.85,6.05,0.0,9.6874,0,0.579,0.0083,0.7671,2015,6,Tuesday,2,0.0,18.51,0
2015-06-03,19.06,14.23,24.34,5.53,0.0,9.065,0,0.57,0.0084,0.8052,2015,6,Wednesday,2,0.0,27.58,0
2015-06-04,19.77,16.03,23.74,2.74,0.0,9.7702,0,0.571,0.0084,0.8432,2015,6,Thursday,2,0.0,37.35,0
2015-06-05,17.68,14.17,22.88,6.35,0.0,7.6758,0,0.577,0.0085,0.881,2015,6,Friday,2,0.0,45.02,0
2015-06-06,19.22,15.38,24.65,0.0,0.0,9.2192,0,0.588,0.0085,0.9187,2015,6,Saturday,2,0.0,54.24,0
2015-06-07,19.44,16.57,23.71,0.12,0.0,9.4375,0,0.584,0.0086,0.9561,2015,6,Sunday,2,0.0,63.68,0
2015-06-08,19.36,14.98,23.88,0.74,0.0,9.3566,0,0.584,0.0087,0.9934,2015,6,Monday,2,0.0,73.04,0
2015-06-09,15.64,11.99,20.31,33.28,0.0,5.6429,0,0.584,0.0087,1.0303,2015,6,Tuesday,2,0.0,78.68,0
2015-06-10,11.9,8.14,16.62,5.51,0.0,1.9023,0,0.588,0.0088,1.0669,2015,6,Wednesday,2,0.0,80.58,0
2015-06-11,9.5,5.69,14.47,1.87,0.496,0.0,0,0.59,0.0088,1.1033,2015,6,Thursday,2,0.5,80.58,0
2015-06-12,12.71,8.35,16.92,0.75,0.0,2.7148,0,0.598,0.0089,1.1392,2015,6,Friday,2,0.5,83.3,0
2015-06-13,13.26,8.61,17.51,3.98,0.0,3.2618,0,0.603,0.0089,1.1748,2015,6,Saturday,2,0.5,86.56,0
2015-06-14,11.77,8.26,16.32,3.38,0.0,1.7689,0,0.611,0.009,1.21,2015,6,Sunday,2,0.5,88.33,0
2015-06-15,12.34,8.55,16.93,7.42,0.0,2.3395,0,0.608,0.009,1.2447,2015,6,Monday,2,0.5,90.67,0
2015-06-16,8.49,5.36,13.0,4.47,1.5115,0.0,0,0.614,0.0091,1.279,2015,6,Tuesday,2,2.01,90.67,0
2015-06-17,13.65,10.38,18.21,1.03,0.0,3.6496,0,0.611,0.0091,1.3127,2015,6,Wednesday,2,2.01,94.32,0
2015-06-18,18.28,14.61,23.31,1.2,0.0,8.2798,0,0.615,0.0092,1.3459,2015,6,Thursday,2,2.01,102.6,0
2015-06-19,17.99,13.89,22.44,3.5,0.0,7.9898,0,0.606,0.0093,1.3786,2015,6,Friday,2,2.01,110.59,0
2015-06-20,16.57,12.19,20.82,6.28,0.0,6.5737,0,0.611,0.0093,1.4107,2015,6,Saturday,2,2.01,117.16,0
2015-06-21,16.91,13.34,21.75,9.73,0.0,6.9113,0,0.613,0.0094,1.4422,2015,6,Sunday,2,2.01,124.07,0
2015-06-22,17.34,14.43,22.53,6.95,0.0,7.3384,0,0.614,0.0094,1.473,2015,6,Monday,2,2.01,131.41,0
2015-06-23,17.4,13.54,22.09,4.41,0.0,7.4032,0,0.614,0.0095,1.5032,2015,6,Tuesday,2,2.01,138.81,0
2015-06-24,16.64,13.75,20.86,12.92,0.0,6.6399,0,0.616,0.0095,1.5327,2015,6,Wednesday,2,2.01,145.45,0
2015-06-25,17.18,13.44,23.34,7.44,0.0,7.1758,0,0.61,0.0096,1.5615,2015,6,Thursday,2,2.01,152.63,0
2015-06-26,17.24,14.2,21.0,0.06,0.0,7.2439,0,0.608,0.0096,1.5896,2015,6,Friday,2,2.01,159.87,0
2015-06-27,15.97,12.77,20.37,26.95,0.0,5.9706,0,0.611,0.0097,1.6169,2015,6,Saturday,2,2.01,165.84,0
2015-06-28,14.38,10.44,19.32,0.08,0.0,4.3788,0,0.613,0.0097,1.6434,2015,6,Sunday,2,2.01,170.22,0
2015-06-29,16.11,12.7,19.89,0.07,0.0,6.109,0,0.614,0.0098,1.6691,2015,6,Monday,2,2.01,176.33,0
2015-06-30,16.45,12.24,22.13,2.15,0.0,6.4467,0,0.619,0.0099,1.694,2015,6,Tuesday,2,2.01,182.78,0
2015-07-01,15.9,11.36,20.75,0.31,0.0,5.8996,0,0.62,0.0099,1.718,2015,7,Wednesday,3,0.0,5.9,0
2015-07-02,14.14,10.08,19.4,0.9,0.0,4.1406,0,0.631,0.01,1.7412,2015,7,Thursday,3,0.0,10.04,0
2015-07-03,13.06,9.05,18.3,0.72,0.0,3.0616,0,0.629,0.01,1.7635,2015,7,Friday,3,0.0,13.1,0
2015-07-04,12.98,9.05,17.45,13.25,0.0,2.9789,0,0.629,0.0101,1.7849,2015,7,Saturday,3,0.0,16.08,0
2015-07-05,12.98,9.63,16.77,1.44,0.0,2.9765,0,0.629,0.0101,1.8053,2015,7,Sunday,3,0.0,19.06,0
2015-07-06,13.99,11.01,17.51,0.25,0.0,3.9908,0,0.629,0.0102,1.8248,2015,7,Monday,3,0.0,23.05,0
2015-07-07,14.73,10.9,19.0,4.56,0.0,4.7257,0,0.632,0.0102,1.8433,2015,7,Tuesday,3,0.0,27.77,0
2015-07-08,14.7,11.96,18.79,7.47,0.0,4.6952,0,0.63,0.0103,1.8609,2015,7,Wednesday,3,0.0,32.47,0
2015-07-09,14.24,10.77,18.58,0.16,0.0,4.2448,0,0.627,0.0103,1.8775,2015,7,Thursday,3,0.0,36.71,0
2015-07-10,13.97,9.3,20.17,2.51,0.0,3.9719,0,0.636,0.0104,1.893,2015,7,Friday,3,0.0,40.69,0
2015-07-11,16.02,13.12,20.35,0.37,0.0,6.0209,0,0.639,0.0105,1.9075,2015,7,Saturday,3,0.0,46.71,0
2015-07-12,16.13,12.73,19.82,14.83,0.0,6.1284,0,0.64,0.0105,1.921,2015,7,Sunday,3,0.0,52.83,0
2015-07-13,19.08,16.47,22.94,1.65,0.0,9.0801,0,0.647,0.0106,1.9335,2015,7,Monday,3,0.0,61.92,0
2015-07-14,20.92,17.14,24.76,2.91,0.0,10.9249,0,0.65,0.0106,1.9449,2015,7,Tuesday,3,0.0,72.84,0
