escenario,hdd_90dias,payoff_usd,pnl_neto_usd,activado,cap_alcanzado
256,30.67,0.0,-580.0,0,0
257,74.1,6750.0,6170.0,1,1
258,21.02,0.0,-580.0,0,0
259,28.4,0.0,-580.0,0,0
260,22.1,0.0,-580.0,0,0
261,3.79,0.0,-580.0,0,0
262,88.79,6750.0,6170.0,1,1
263,18.07,0.0,-580.0,0,0
264,35.54,0.0,-580.0,0,0
265,70.75,6750.0,6170.0,1,1
266,69.15,6750.0,6170.0,1,1
267,5.15,0.0,-580.0,0,0
268,42.2,1049.57,469.57,1,0
269,43.57,1393.68,813.68,1,0
270,70.07,6750.0,6170.0,1,1
271,29.49,0.0,-580.0,0,0
272,51.12,3279.27,2699.27,1,0
273,47.52,2380.92,1800.92,1,0
274,77.74,6750.0,6170.0,1,1
275,63.71,6427.58,5847.58,1,0
276,34.59,0.0,-580.0,0,0
277,59.67,5416.66,4836.66,1,0
278,46.91,2226.61,1646.61,1,0
279,42.84,1210.81,630.81,1,0
280,62.77,6192.81,5612.81,1,0
281,12.01,0.0,-580.0,0,0
282,86.84,6750.0,6170.0,1,1
283,21.8,0.0,-580.0,0,0
284,11.06,0.0,-580.0,0,0
285,9.89,0.0,-580.0,0,0
286,22.64,0.0,-580.0,0,0
287,31.42,0.0,-580.0,0,0
288,31.96,0.0,-580.0,0,0
289,50.5,3123.89,2543.89,1,0
290,22.82,0.0,-580.0,0,0
291,74.82,6750.0,6170.0,1,1
292,18.24,0.0,-580.0,0,0
293,4.11,0.0,-580.0,0,0
294,55.1,4275.26,3695.26,1,0
295,30.86,0.0,-580.0,0,0
296,24.32,0.0,-580.0,0,0
297,65.18,6750.0,6170.0,1,1
298,64.22,6554.9,5974.9,1,0
299,23.3,0.0,-580.0,0,0
300,52.76,3690.26,3110.26,1,0
301,129.07,6750.0,6170.0,1,1
302,62.06,6013.85,5433.85,1,0
303,60.18,5545.47,4965.47,1,0
304,39.01,253.71,-326.29,1,0
305,40.88,721.02,141.02,1,0
306,40.19,547.64,-32.36,1,0
307,20.62,0.0,-580.0,0,0
308,104.95,6750.0,6170.0,1,1
309,14.69,0.0,-580.0,0,0
310,9.67,0.0,-580.0,0,0
311,17.41,0.0,-580.0,0,0
312,42.07,1016.36,436.36,1,0
313,44.61,1651.5,1071.5,1,0
314,39.4,349.97,-230.03,1,0
315,55.32,4329.04,3749.04,1,0
316,45.46,1864.15,1284.15,1,0
317,33.56,0.0,-580.0,0,0
318,65.79,6750.0,6170.0,1,1
319,80.39,6750.0,6170.0,1,1
320,96.23,6750.0,6170.0,1,1
321,72.6,6750.0,6170.0,1,1
322,36.49,0.0,-580.0,0,0
323,67.14,6750.0,6170.0,1,1
324,37.02,0.0,-580.0,0,0
325,25.78,0.0,-580.0,0,0
326,11.63,0.0,-580.0,0,0
327,60.42,5604.34,5024.34,1,0
328,24.9,0.0,-580.0,0,0
329,81.51,6750.0,6170.0,1,1
330,10.72,0.0,-580.0,0,0
331,62.29,6072.93,5492.93,1,0
332,81.33,6750.0,6170.0,1,1
333,12.79,0.0,-580.0,0,0
334,107.98,6750.0,6170.0,1,1
335,41.62,904.71,324.71,1,0
336,18.19,0.0,-580.0,0,0
337,36.52,0.0,-580.0,0,0
338,10.95,0.0,-580.0,0,0
339,32.47,0.0,-580.0,0,0
340,11.11,0.0,-580.0,0,0
341,71.26,6750.0,6170.0,1,1
342,52.22,3555.96,2975.96,1,0
343,32.76,0.0,-580.0,0,0
344,53.23,3807.46,3227.46,1,0
345,47.41,2352.76,1772.76,1,0
346,48.13,2532.8,1952.8,1,0
347,29.52,0.0,-580.0,0,0
348,28.81,0.0,-580.0,0,0
349,30.39,0.0,-580.0,0,0
350,26.04,0.0,-580.0,0,0
351,94.94,6750.0,6170.0,1,1
352,30.84,0.0,-580.0,0,0
353,6.44,0.0,-580.0,0,0
354,64.79,6696.72,6116.72,1,0
355,25.34,0.0,-580.0,0,0
356,131.71,6750.0,6170.0,1,1
357,83.28,6750.0,6170.0,1,1
358,108.0,6750.0,6170.0,1,1
359,52.71,3676.73,3096.73,1,0
360,65.58,6750.0,6170.0,1,1
361,15.68,0.0,-580.0,0,0
362,89.24,6750.0,6170.0,1,1
363,14.62,0.0,-580.0,0,0
364,34.74,0.0,-580.0,0,0
365,38.12,29.27,-550.73,1,0
366,47.78,2445.31,1865.31,1,0
367,43.56,1390.45,810.45,1,0
368,16.25,0.0,-580.0,0,0
369,18.9,0.0,-580.0,0,0
370,14.93,0.0,-580.0,0,0
371,41.16,790.68,210.68,1,0
372,48.53,2631.5,2051.5,1,0
373,14.72,0.0,-580.0,0,0
374,54.05,4011.97,3431.97,1,0
375,58.75,5187.51,4607.51,1,0
376,79.61,6750.0,6170.0,1,1
377,31.69,0.0,-580.0,0,0
378,45.07,1768.0,1188.0,1,0
379,11.3,0.0,-580.0,0,0
380,70.31,6750.0,6170.0,1,1
381,71.65,6750.0,6170.0,1,1
382,45.53,1881.73,1301.73,1,0
383,111.69,6750.0,6170.0,1,1
384,16.0,0.0,-580.0,0,0
385,97.51,6750.0,6170.0,1,1
386,27.96,0.0,-580.0,0,0
387,59.52,5378.9,4798.9,1,0
388,8.26,0.0,-580.0,0,0
389,93.22,6750.0,6170.0,1,1
390,61.35,5837.86,5257.86,1,0
391,88.28,6750.0,6170.0,1,1
392,52.83,3706.99,3126.99,1,0
393,105.5,6750.0,6170.0,1,1
394,58.82,5204.09,4624.09,1,0
395,16.0,0.0,-580.0,0,0
396,24.76,0.0,-580.0,0,0
397,77.42,6750.0,6170.0,1,1
398,23.14,0.0,-580.0,0,0
399,42.14,1034.09,454.09,1,0
400,34.46,0.0,-580.0,0,0
401,17.68,0.0,-580.0,0,0
402,7.35,0.0,-580.0,0,0
403,53.66,3914.62,3334.62,1,0
404,59.37,5343.25,4763.25,1,0
405,31.54,0.0,-580.0,0,0
406,21.92,0.0,-580.0,0,0
407,33.65,0.0,-580.0,0,0
408,13.49,0.0,-580.0,0,0
409,30.6,0.0,-580.0,0,0
410,27.56,0.0,-580.0,0,0
411,71.97,6750.0,6170.0,1,1
412,49.44,2859.14,2279.14,1,0
413,35.26,0.0,-580.0,0,0
414,31.81,0.0,-580.0,0,0
415,31.93,0.0,-580.0,0,0
416,38.28,70.03,-509.97,1,0
417,17.81,0.0,-580.0,0,0
418,47.01,2252.69,1672.69,1,0
419,53.38,3845.85,3265.85,1,0
420,108.62,6750.0,6170.0,1,1
421,47.39,2348.28,1768.28,1,0
422,114.28,6750.0,6170.0,1,1
423,93.0,6750.0,6170.0,1,1
424,47.8,2450.89,1870.89,1,0
425,22.93,0.0,-580.0,0,0
426,34.28,0.0,-580.0,0,0
427,79.85,6750.0,6170.0,1,1
428,23.77,0.0,-580.0,0,0
429,51.93,3483.42,2903.42,1,0
430,58.55,5137.63,4557.63,1,0
431,8.16,0.0,-580.0,0,0
432,12.79,0.0,-580.0,0,0
433,47.62,2405.06,1825.06,1,0
434,52.13,3531.93,2951.93,1,0
435,34.8,0.0,-580.0,0,0
436,44.81,1701.85,1121.85,1,0
437,16.51,0.0,-580.0,0,0
438,59.0,5250.95,4670.95,1,0
439,50.08,3018.9,2438.9,1,0
440,41.42,856.11,276.11,1,0
441,39.29,323.62,-256.38,1,0
442,18.25,0.0,-580.0,0,0
443,7.6,0.0,-580.0,0,0
444,38.89,222.12,-357.88,1,0
445,26.98,0.0,-580.0,0,0
446,15.65,0.0,-580.0,0,0
447,50.79,3196.43,2616.43,1,0
448,79.1,6750.0,6170.0,1,1
449,28.78,0.0,-580.0,0,0
450,0.53,0.0,-580.0,0,0
451,17.42,0.0,-580.0,0,0
452,24.08,0.0,-580.0,0,0
453,34.05,0.0,-580.0,0,0
454,32.6,0.0,-580.0,0,0
455,33.26,0.0,-580.0,0,0
456,53.78,3944.39,3364.39,1,0
457,18.06,0.0,-580.0,0,0
458,53.78,3945.74,3365.74,1,0
459,22.42,0.0,-580.0,0,0
460,39.46,365.64,-214.36,1,0
461,26.19,0.0,-580.0,0,0
462,57.35,4838.03,4258.03,1,0
463,36.1,0.0,-580.0,0,0
464,60.56,5639.1,5059.1,1,0
465,40.32,581.01,1.01,1,0
466,43.64,1410.3,830.3,1,0
467,20.6,0.0,-580.0,0,0
468,22.98,0.0,-580.0,0,0
469,45.27,1816.66,1236.66,1,0
470,36.23,0.0,-580.0,0,0
471,44.98,1745.04,1165.04,1,0
472,50.24,3060.66,2480.66,1,0
473,44.79,1697.25,1117.25,1,0
474,40.2,549.23,-30.77,1,0
475,62.08,6021.21,5441.21,1,0
476,7.8,0.0,-580.0,0,0
477,69.51,6750.0,6170.0,1,1
478,94.98,6750.0,6170.0,1,1
479,14.14,0.0,-580.0,0,0
480,47.94,2483.89,1903.89,1,0
481,54.32,4079.3,3499.3,1,0
482,34.98,0.0,-580.0,0,0
483,29.48,0.0,-580.0,0,0
484,9.29,0.0,-580.0,0,0
485,47.96,2489.05,1909.05,1,0
486,46.99,2248.5,1668.5,1,0
487,64.43,6607.12,6027.12,1,0
488,92.6,6750.0,6170.0,1,1
489,22.47,0.0,-580.0,0,0
490,16.12,0.0,-580.0,0,0
491,23.48,0.0,-580.0,0,0
492,52.27,3567.65,2987.65,1,0
493,35.65,0.0,-580.0,0,0
494,0.1,0.0,-580.0,0,0
495,70.67,6750.0,6170.0,1,1
496,13.31,0.0,-580.0,0,0
497,47.85,2462.4,1882.4,1,0
498,17.85,0.0,-580.0,0,0
499,49.63,2907.13,2327.13,1,0
500,36.76,0.0,-580.0,0,0
501,10.1,0.0,-580.0,0,0
502,15.13,0.0,-580.0,0,0
503,45.57,1891.47,1311.47,1,0
504,54.09,4023.66,3443.66,1,0
505,31.04,0.0,-580.0,0,0
506,75.45,6750.0,6170.0,1,1
507,59.5,5374.14,4794.14,1,0
508,29.27,0.0,-580.0,0,0
509,33.49,0.0,-580.0,0,0
510,17.02,0.0,-580.0,0,0
511,38.81,201.36,-378.64,1,0
512,48.75,2687.73,2107.73,1,0
513,7.12,0.0,-580.0,0,0
514,45.72,1930.07,1350.07,1,0
515,67.53,6750.0,6170.0,1,1
516,14.76,0.0,-580.0,0,0
517,61.06,5764.03,5184.03,1,0
518,38.36,89.16,-490.84,1,0
519,68.07,6750.0,6170.0,1,1
520,72.02,6750.0,6170.0,1,1
521,44.61,1653.06,1073.06,1,0
522,45.53,1883.53,1303.53,1,0
523,74.43,6750.0,6170.0,1,1
524,54.99,4247.72,3667.72,1,0
525,139.06,6750.0,6170.0,1,1
526,107.0,6750.0,6170.0,1,1
527,77.22,6750.0,6170.0,1,1
528,31.77,0.0,-580.0,0,0
529,12.29,0.0,-580.0,0,0
530,37.65,0.0,-580.0,0,0
531,81.3,6750.0,6170.0,1,1
532,18.26,0.0,-580.0,0,0
533,128.17,6750.0,6170.0,1,1
534,88.04,6750.0,6170.0,1,1
535,7.16,0.0,-580.0,0,0
536,59.21,5301.93,4721.93,1,0
537,77.57,6750.0,6170.0,1,1
538,137.96,6750.0,6170.0,1,1
539,31.31,0.0,-580.0,0,0
540,51.33,3331.62,2751.62,1,0
541,37.76,0.0,-580.0,0,0
542,28.63,0.0,-580.0,0,0
543,36.04,0.0,-580.0,0,0
544,52.98,3744.01,3164.01,1,0
545,13.04,0.0,-580.0,0,0
546,41.62,904.28,324.28,1,0
547,67.77,6750.0,6170.0,1,1
548,44.33,1581.87,1001.87,1,0
549,20.03,0.0,-580.0,0,0
550,40.72,680.33,100.33,1,0
551,9.5,0.0,-580.0,0,0
552,39.53,383.56,-196.44,1,0
553,66.8,6750.0,6170.0,1,1
554,63.1,6274.69,5694.69,1,0
555,88.96,6750.0,6170.0,1,1
556,40.98,746.16,166.16,1,0
557,42.11,1026.29,446.29,1,0
558,34.12,0.0,-580.0,0,0
559,31.76,0.0,-580.0,0,0
560,42.61,1151.64,571.64,1,0
561,28.57,0.0,-580.0,0,0
562,21.2,0.0,-580.0,0,0
563,87.35,6750.0,6170.0,1,1
564,39.28,319.98,-260.02,1,0
565,7.67,0.0,-580.0,0,0
566,10.07,0.0,-580.0,0,0
567,62.81,6201.98,5621.98,1,0
568,41.89,973.09,393.09,1,0
569,67.63,6750.0,6170.0,1,1
570,24.5,0.0,-580.0,0,0
571,48.8,2701.04,2121.04,1,0
572,32.55,0.0,-580.0,0,0
573,36.08,0.0,-580.0,0,0
574,36.68,0.0,-580.0,0,0
575,66.23,6750.0,6170.0,1,1
576,26.21,0.0,-580.0,0,0
577,17.56,0.0,-580.0,0,0
578,52.76,3689.41,3109.41,1,0
579,40.04,510.25,-69.75,1,0
580,16.9,0.0,-580.0,0,0
581,5.92,0.0,-580.0,0,0
582,18.88,0.0,-580.0,0,0
583,42.64,1160.16,580.16,1,0
584,33.94,0.0,-580.0,0,0
585,69.35,6750.0,6170.0,1,1
586,54.95,4238.38,3658.38,1,0
587,45.49,1872.96,1292.96,1,0
588,46.86,2215.99,1635.99,1,0
589,71.99,6750.0,6170.0,1,1
590,20.83,0.0,-580.0,0,0
591,39.66,414.14,-165.86,1,0
592,66.46,6750.0,6170.0,1,1
593,29.66,0.0,-580.0,0,0
594,32.55,0.0,-580.0,0,0
595,30.24,0.0,-580.0,0,0
596,54.09,4021.75,3441.75,1,0
597,58.45,5113.51,4533.51,1,0
598,80.89,6750.0,6170.0,1,1
599,66.59,6750.0,6170.0,1,1
600,27.15,0.0,-580.0,0,0
601,26.45,0.0,-580.0,0,0
602,25.51,0.0,-580.0,0,0
603,42.95,1236.93,656.93,1,0
604,25.63,0.0,-580.0,0,0
605,25.21,0.0,-580.0,0,0
606,55.36,4339.78,3759.78,1,0
607,8.53,0.0,-580.0,0,0
608,73.54,6750.0,6170.0,1,1
609,22.86,0.0,-580.0,0,0
610,24.18,0.0,-580.0,0,0
611,23.91,0.0,-580.0,0,0
612,71.51,6750.0,6170.0,1,1
613,86.59,6750.0,6170.0,1,1
614,65.53,6750.0,6170.0,1,1
615,84.25,6750.0,6170.0,1,1
616,72.55,6750.0,6170.0,1,1
617,62.94,6235.35,5655.35,1,0
618,41.61,902.94,322.94,1,0
619,38.96,239.84,-340.16,1,0
620,92.75,6750.0,6170.0,1,1
621,73.82,6750.0,6170.0,1,1
622,27.54,0.0,-580.0,0,0
623,58.96,5240.76,4660.76,1,0
624,29.83,0.0,-580.0,0,0
625,35.76,0.0,-580.0,0,0
626,42.73,1183.7,603.7,1,0
627,17.37,0.0,-580.0,0,0
628,55.64,4409.12,3829.12,1,0
629,39.43,358.6,-221.4,1,0
630,68.76,6750.0,6170.0,1,1
631,37.38,0.0,-580.0,0,0
632,67.35,6750.0,6170.0,1,1
633,63.83,6456.87,5876.87,1,0
634,66.81,6750.0,6170.0,1,1
635,26.35,0.0,-580.0,0,0
636,55.91,4477.42,3897.42,1,0
637,35.6,0.0,-580.0,0,0
638,95.68,6750.0,6170.0,1,1
639,22.55,0.0,-580.0,0,0
640,85.29,6750.0,6170.0,1,1
641,32.74,0.0,-580.0,0,0
642,18.1,0.0,-580.0,0,0
643,27.18,0.0,-580.0,0,0
644,33.84,0.0,-580.0,0,0
645,117.16,6750.0,6170.0,1,1
646,32.56,0.0,-580.0,0,0
647,46.12,2030.86,1450.86,1,0
648,29.35,0.0,-580.0,0,0
649,38.35,86.43,-493.57,1,0
650,12.41,0.0,-580.0,0,0
651,24.31,0.0,-580.0,0,0
652,42.34,1084.13,504.13,1,0
653,78.45,6750.0,6170.0,1,1
654,35.26,0.0,-580.0,0,0
655,61.09,5772.98,5192.98,1,0
656,55.94,4486.16,3906.16,1,0
657,16.99,0.0,-580.0,0,0
658,92.2,6750.0,6170.0,1,1
659,13.57,0.0,-580.0,0,0
660,49.8,2950.45,2370.45,1,0
661,51.32,3330.62,2750.62,1,0
662,38.54,134.31,-445.69,1,0
663,20.74,0.0,-580.0,0,0
664,23.94,0.0,-580.0,0,0
665,39.83,457.67,-122.33,1,0
666,11.41,0.0,-580.0,0,0
667,14.75,0.0,-580.0,0,0
668,48.23,2557.92,1977.92,1,0
669,11.47,0.0,-580.0,0,0
670,29.8,0.0,-580.0,0,0
671,9.98,0.0,-580.0,0,0
672,83.8,6750.0,6170.0,1,1
673,47.22,2306.24,1726.24,1,0
674,80.12,6750.0,6170.0,1,1
675,110.69,6750.0,6170.0,1,1
676,31.43,0.0,-580.0,0,0
677,7.64,0.0,-580.0,0,0
678,26.66,0.0,-580.0,0,0
679,12.42,0.0,-580.0,0,0
680,57.12,4779.05,4199.05,1,0
681,81.94,6750.0,6170.0,1,1
682,44.15,1537.54,957.54,1,0
683,75.69,6750.0,6170.0,1,1
684,53.96,3989.62,3409.62,1,0
685,42.28,1070.03,490.03,1,0
686,19.51,0.0,-580.0,0,0
687,28.79,0.0,-580.0,0,0
688,34.96,0.0,-580.0,0,0
689,15.14,0.0,-580.0,0,0
690,43.06,1265.83,685.83,1,0
691,53.18,3794.31,3214.31,1,0
692,12.32,0.0,-580.0,0,0
693,8.16,0.0,-580.0,0,0
694,58.67,5167.41,4587.41,1,0
695,20.69,0.0,-580.0,0,0
696,73.42,6750.0,6170.0,1,1
697,52.42,3604.14,3024.14,1,0
698,50.37,3091.63,2511.63,1,0
699,14.91,0.0,-580.0,0,0
700,40.01,501.4,-78.6,1,0
701,45.52,1880.03,1300.03,1,0
702,8.1,0.0,-580.0,0,0
703,82.57,6750.0,6170.0,1,1
704,31.46,0.0,-580.0,0,0
705,27.15,0.0,-580.0,0,0
706,51.04,3259.65,2679.65,1,0
707,116.8,6750.0,6170.0,1,1
708,28.98,0.0,-580.0,0,0
709,17.89,0.0,-580.0,0,0
710,6.8,0.0,-580.0,0,0
711,39.19,296.75,-283.25,1,0
712,26.66,0.0,-580.0,0,0
713,46.58,2144.8,1564.8,1,0
714,14.01,0.0,-580.0,0,0
715,2.76,0.0,-580.0,0,0
716,99.87,6750.0,6170.0,1,1
717,17.41,0.0,-580.0,0,0
718,55.05,4262.71,3682.71,1,0
